height,weight,label
120,56,high
163,37,low
199,48,low
173,100,high
153,82,high
135,58,high
197,44,low
145,94,high
135,53,high
133,48,high
148,78,high
188,54,low
126,95,high
186,96,high
195,83,ok
135,99,high
164,49,low
185,68,ok
180,95,high
156,36,low
162,54,ok
142,76,high
161,58,ok
134,76,high
163,79,high
142,99,high
146,38,low
179,94,high
159,75,high
126,58,high
147,53,ok
153,54,ok
200,54,low
182,55,low
121,74,high
190,39,low
142,95,high
190,54,low
134,53,high
154,84,high
142,65,high
141,64,high
145,47,ok
157,85,high
164,52,ok
158,46,low
137,41,ok
164,81,high
123,88,high
123,98,high
127,83,high
191,73,ok
171,84,high
155,62,high
181,75,ok
180,49,low
144,87,high
196,46,low
168,50,low
163,44,low
188,47,low
175,58,ok
123,49,high
134,69,high
157,46,ok
181,58,low
177,41,low
165,88,high
177,98,high
148,53,ok
140,43,ok
183,94,high
157,59,ok
194,84,ok
191,78,ok
165,68,ok
199,70,low
183,74,ok
143,67,high
179,93,high
156,61,high
178,98,high
171,43,low
200,99,ok
138,56,high
143,68,high
198,60,low
177,42,low
167,41,low
125,81,high
161,73,high
199,83,ok
181,65,ok
155,70,high
164,38,low
183,80,ok
185,91,high
144,71,high
137,66,high
181,41,low
165,59,ok
191,74,ok
159,53,ok
164,76,high
192,49,low
190,42,low
197,61,low
183,36,low
146,45,ok
174,66,ok
150,60,high
176,61,ok
188,42,low
180,89,high
186,59,low
195,54,low
161,39,low
169,52,low
198,74,ok
131,80,high
135,64,high
192,84,ok
179,91,high
126,97,high
158,67,high
186,69,ok
167,96,high
195,92,ok
122,78,high
123,83,high
193,42,low
147,37,low
169,100,high
157,82,high
147,63,high
125,74,high
162,62,ok
135,79,high
197,94,ok
135,45,ok
177,71,ok
163,36,low
124,86,high
151,72,high
125,91,high
199,99,ok
142,61,high
174,68,ok
134,45,high
162,58,ok
190,37,low
134,40,ok
167,93,high
130,99,high
179,86,high
165,37,low
160,71,high
173,40,low
186,95,high
176,99,high
156,39,low
121,41,high
128,42,high
127,70,high
131,54,high
172,54,low
163,76,high
142,52,high
149,74,high
122,77,high
169,97,high
162,93,high
151,36,low
179,49,low
178,90,high
149,69,high
172,64,ok
129,69,high
133,61,high
172,77,high
176,47,low
125,67,high
138,54,high
185,42,low
147,97,high
164,81,high
170,62,ok
162,49,ok
196,57,low
157,37,low
132,61,high
159,95,high
157,97,high
152,53,ok
124,47,high
197,64,low
137,70,high
124,42,high
170,82,high
173,83,high
193,87,ok
157,61,ok
135,91,high
189,60,low
159,80,high
171,91,high
142,61,high
196,79,ok
121,70,high
188,79,ok
123,83,high
157,95,high
197,44,low
147,44,ok
125,35,ok
124,47,high
145,43,ok
196,71,low
194,64,low
184,99,high
146,46,ok
131,93,high
175,71,ok
182,50,low
179,89,high
159,46,low
174,62,ok
122,51,high
166,47,low
148,56,high
148,80,high
166,60,ok
172,56,ok
183,93,high
133,87,high
160,85,high
191,75,ok
160,62,ok
172,87,high
128,98,high
152,100,high
163,39,low
197,89,ok
192,80,ok
123,72,high
189,46,low
190,100,high
120,49,high
169,71,ok
199,64,low
126,77,high
191,94,high
167,100,high
163,94,high
140,86,high
156,72,high
175,91,high
192,37,low
190,44,low
145,43,ok
170,66,ok
127,63,high
120,65,high
191,57,low
158,92,high
165,71,high
192,90,ok
196,62,low
125,66,high
145,47,ok
186,68,ok
138,67,high
127,54,high
191,44,low
135,62,high
121,46,high
187,52,low
183,37,low
163,71,high
180,62,ok
134,38,ok
193,54,low
200,83,ok
146,48,ok
145,94,high
120,100,high
193,84,ok
126,35,ok
155,54,ok
123,43,high
168,85,high
121,87,high
169,41,low
139,100,high
133,48,high
187,70,ok
189,83,ok
191,91,ok
193,100,high
121,54,high
138,84,high
179,64,ok
158,71,high
174,58,ok
171,63,ok
165,82,high
151,66,high
138,89,high
167,35,low
196,51,low
127,51,high
120,80,high
157,95,high
126,64,high
158,47,ok
182,99,high
169,37,low
159,37,low
147,49,ok
141,64,high
126,82,high
147,35,low
122,89,high
142,48,ok
144,54,high
124,61,high
126,36,ok
128,81,high
120,87,high
151,82,high
125,83,high
157,78,high
149,47,ok
152,67,high
153,39,low
145,86,high
151,76,high
134,66,high
124,96,high
173,43,low
188,42,low
161,35,low
161,87,high
200,100,high
159,99,high
172,68,ok
165,36,low
131,42,ok
198,77,ok
142,52,high
165,93,high
126,74,high
186,81,ok
183,93,high
132,44,high
132,98,high
184,52,low
150,92,high
146,36,low
160,59,ok
148,58,high
150,50,ok
130,55,high
161,67,high
155,99,high
172,56,ok
180,97,high
188,59,low
171,40,low
188,40,low
127,93,high
177,48,low
200,88,ok
147,70,high
192,35,low
200,52,low
135,44,ok
188,56,low
143,82,high
142,69,high
150,43,ok
190,61,low
131,81,high
169,77,high
122,48,high
147,60,high
129,87,high
162,64,ok
197,93,ok
127,65,high
197,62,low
170,49,low
123,99,high
165,62,ok
135,40,ok
150,51,ok
195,69,low
194,96,high
126,45,high
185,53,low
129,94,high
187,99,high
166,71,high
133,35,ok
190,38,low
144,64,high
161,82,high
141,70,high
154,82,high
129,97,high
186,72,ok
186,49,low
194,50,low
156,64,high
140,62,high
186,40,low
169,89,high
167,70,high
153,67,high
182,36,low
126,85,high
139,86,high
126,94,high
142,61,high
165,47,low
191,52,low
136,91,high
144,61,high
150,63,high
186,35,low
185,55,low
144,94,high
157,90,high
199,83,ok
165,74,high
175,83,high
174,83,high
181,38,low
197,64,low
134,91,high
184,73,ok
180,57,low
176,81,high
166,68,ok
180,61,ok
144,87,high
122,97,high
172,43,low
169,43,low
183,46,low
137,67,high
142,52,high
165,58,ok
121,37,high
129,93,high
151,84,high
143,89,high
192,50,low
172,57,ok
178,79,ok
157,64,high
187,56,low
171,41,low
172,97,high
160,69,high
177,63,ok
200,62,low
143,41,ok
149,62,high
164,89,high
140,93,high
141,65,high
197,81,ok
142,85,high
141,96,high
171,89,high
176,99,high
188,78,ok
145,75,high
171,38,low
133,66,high
124,56,high
198,55,low
155,93,high
190,92,high
195,74,ok
199,79,ok
170,52,low
195,68,low
135,47,high
128,61,high
184,92,high
190,45,low
141,74,high
177,95,high
125,93,high
139,74,high
156,59,ok
187,46,low
177,79,high
120,46,high
147,78,high
161,77,high
145,35,low
134,62,high
168,92,high
143,40,ok
149,40,low
137,59,high
125,67,high
130,60,high
187,48,low
199,100,high
146,46,ok
164,48,low
150,85,high
159,52,ok
132,42,ok
167,90,high
158,70,high
184,88,high
186,80,ok
187,95,high
153,67,high
127,44,high
146,55,high
126,83,high
196,53,low
143,65,high
181,45,low
181,72,ok
192,73,ok
131,54,high
157,96,high
137,73,high
140,79,high
165,68,ok
120,41,high
121,57,high
160,98,high
184,48,low
140,64,high
168,92,high
182,97,high
164,64,ok
123,71,high
164,62,ok
153,57,ok
188,48,low
177,48,low
200,85,ok
183,66,ok
137,86,high
141,85,high
147,57,high
175,85,high
150,40,low
192,69,ok
145,84,high
129,93,high
152,38,low
146,62,high
133,76,high
164,80,high
165,38,low
132,66,high
139,80,high
199,71,low
127,39,ok
172,48,low
189,80,ok
177,61,ok
123,35,ok
188,63,low
126,39,ok
120,53,high
150,63,high
197,39,low
138,61,high
191,48,low
196,55,low
140,91,high
184,71,ok
192,85,ok
177,40,low
131,100,high
175,72,ok
135,83,high
129,76,high
159,43,low
127,56,high
161,87,high
154,64,high
158,70,high
180,48,low
127,48,high
123,46,high
200,40,low
166,84,high
155,95,high
176,88,high
140,53,high
164,71,high
178,64,ok
158,82,high
131,42,ok
181,97,high
197,69,low
186,98,high
177,35,low
121,56,high
174,90,high
190,88,ok
121,53,high
186,59,low
160,93,high
194,41,low
148,38,low
157,85,high
186,71,ok
136,100,high
122,56,high
163,45,low
188,41,low
183,62,ok
144,64,high
166,98,high
199,56,low
128,79,high
131,75,high
181,66,ok
159,99,high
124,59,high
166,55,ok
156,73,high
195,41,low
160,38,low
165,46,low
181,44,low
183,63,ok
159,38,low
120,68,high
174,35,low
152,67,high
190,68,ok
121,51,high
130,96,high
184,65,ok
153,95,high
168,96,high
198,46,low
196,42,low
126,39,ok
143,46,ok
179,45,low
127,77,high
183,35,low
133,73,high
125,92,high
175,45,low
166,45,low
159,90,high
171,63,ok
127,68,high
136,96,high
126,85,high
173,98,high
158,70,high
185,91,high
177,89,high
139,88,high
124,80,high
163,74,high
152,98,high
162,80,high
160,97,high
125,62,high
129,92,high
187,59,low
198,63,low
135,88,high
177,96,high
155,43,low
196,75,ok
123,85,high
151,47,ok
134,99,high
183,48,low
156,55,ok
135,51,high
197,89,ok
198,93,ok
193,76,ok
183,87,high
196,45,low
133,66,high
167,39,low
200,62,low
133,88,high
136,55,high
188,57,low
192,62,low
155,45,ok
175,79,high
152,89,high
150,97,high
144,38,low
195,41,low
151,100,high
142,40,ok
189,79,ok
130,82,high
156,53,ok
176,78,high
183,94,high
159,57,ok
176,73,ok
174,56,low
138,78,high
200,48,low
168,79,high
188,58,low
183,70,ok
163,36,low
140,56,high
187,62,low
159,44,low
135,56,high
158,52,ok
131,64,high
184,75,ok
148,43,ok
146,62,high
179,44,low
172,72,ok
140,46,ok
135,89,high
143,69,high
158,75,high
194,47,low
146,98,high
192,37,low
195,82,ok
129,72,high
167,38,low
152,77,high
138,99,high
130,94,high
133,37,ok
154,91,high
185,64,ok
184,69,ok
121,35,ok
159,49,ok
180,84,high
150,56,ok
197,44,low
170,78,high
129,43,high
164,57,ok
143,58,high
157,57,ok
127,65,high
121,89,high
143,51,ok
139,67,high
177,35,low
184,70,ok
135,41,ok
126,100,high
182,100,high
174,98,high
171,84,high
122,68,high
197,38,low
120,84,high
182,53,low
186,38,low
191,41,low
195,77,ok
147,97,high
151,59,high
121,77,high
121,81,high
147,52,ok
122,51,high
165,37,low
173,65,ok
196,91,ok
122,94,high
187,78,ok
144,61,high
157,90,high
141,57,high
135,90,high
124,92,high
134,57,high
157,57,ok
197,79,ok
121,82,high
173,58,ok
163,85,high
128,71,high
157,42,low
126,56,high
151,41,low
124,96,high
184,98,high
136,59,high
174,37,low
129,86,high
162,53,ok
147,73,high
138,46,ok
161,87,high
185,46,low
161,56,ok
138,72,high
131,59,high
161,99,high
173,94,high
127,65,high
133,64,high
156,43,low
195,50,low
172,78,high
123,88,high
163,42,low
166,92,high
166,42,low
155,66,high
142,75,high
168,60,ok
186,54,low
135,35,ok
160,55,ok
187,64,low
129,98,high
186,81,ok
156,55,ok
166,68,ok
144,44,ok
142,66,high
156,54,ok
157,87,high
189,59,low
195,66,low
137,77,high
125,54,high
180,62,ok
184,100,high
145,40,ok
183,67,ok
136,99,high
145,39,ok
199,94,ok
148,40,low
188,100,high
173,71,ok
126,65,high
126,98,high
185,36,low
159,67,high
135,52,high
200,63,low
149,44,ok
135,74,high
167,45,low
157,52,ok
169,83,high
159,93,high
137,71,high
142,90,high
194,99,high
146,90,high
157,76,high
190,73,ok
121,44,high
179,81,high
200,51,low
160,72,high
193,96,high
177,64,ok
139,77,high
148,83,high
149,81,high
120,75,high
200,95,ok
171,41,low
121,82,high
131,95,high
175,36,low
147,37,low
150,71,high
148,95,high
183,55,low
188,82,ok
195,45,low
174,35,low
156,51,ok
126,99,high
193,55,low
155,63,high
125,60,high
159,72,high
185,73,ok
158,40,low
188,87,ok
139,83,high
144,87,high
199,38,low
184,92,high
167,79,high
190,83,ok
181,72,ok
141,49,ok
165,65,ok
127,80,high
161,97,high
150,36,low
179,55,low
140,61,high
176,93,high
160,52,ok
127,97,high
121,65,high
195,96,high
123,100,high
178,80,high
193,60,low
188,71,ok
161,59,ok
162,51,ok
157,66,high
187,86,ok
156,79,high
152,71,high
161,35,low
131,79,high
123,89,high
200,83,ok
135,85,high
138,99,high
173,37,low
183,70,ok
165,91,high
173,45,low
136,35,ok
174,64,ok
127,89,high
168,98,high
133,63,high
178,46,low
152,56,ok
180,66,ok
160,94,high
166,36,low
122,57,high
123,74,high
187,83,ok
128,54,high
137,48,high
166,79,high
143,42,ok
173,71,ok
188,60,low
196,47,low
132,89,high
194,82,ok
189,95,high
125,96,high
138,100,high
150,89,high
126,96,high
166,91,high
154,50,ok
130,51,high
133,50,high
168,41,low
126,91,high
186,55,low
153,67,high
170,81,high
173,70,ok
140,79,high
145,48,ok
151,85,high
144,87,high
137,56,high
173,35,low
200,49,low
190,35,low
166,93,high
131,93,high
160,99,high
128,38,ok
131,67,high
200,69,low
165,53,ok
140,58,high
184,66,ok
182,78,ok
182,52,low
180,80,ok
193,94,high
190,56,low
158,57,ok
147,48,ok
187,56,low
130,59,high
152,95,high
126,98,high
141,53,high
138,76,high
189,46,low
184,58,low
128,87,high
129,55,high
174,41,low
158,39,low
120,96,high
165,68,ok
200,45,low
167,87,high
143,51,ok
156,97,high
131,59,high
135,43,ok
152,98,high
190,41,low
121,47,high
168,79,high
156,52,ok
154,85,high
135,42,ok
131,77,high
143,57,high
187,57,low
142,35,low
157,73,high
166,48,low
147,62,high
149,40,low
175,87,high
156,91,high
126,93,high
172,94,high
124,60,high
169,81,high
154,60,high
130,43,high
147,94,high
186,49,low
133,70,high
132,75,high
198,55,low
160,68,high
156,45,low
159,63,ok
166,68,ok
173,45,low
182,91,high
190,70,ok
173,71,ok
178,83,high
122,69,high
170,81,high
121,81,high
138,96,high
123,54,high
180,56,low
185,41,low
162,67,high
149,48,ok
150,39,low
151,44,ok
121,37,high
144,95,high
163,85,high
131,35,ok
120,74,high
163,79,high
159,61,ok
148,91,high
137,67,high
184,86,high
181,86,high
130,50,high
150,70,high
141,89,high
122,83,high
200,52,low
122,41,high
189,71,ok
155,90,high
198,74,ok
181,62,ok
197,50,low
190,46,low
124,47,high
192,67,low
123,87,high
170,69,ok
160,93,high
179,57,low
156,63,high
185,81,ok
162,54,ok
125,66,high
172,79,high
170,63,ok
155,80,high
154,51,ok
172,77,high
151,82,high
163,80,high
126,75,high
133,64,high
167,81,high
166,37,low
128,72,high
173,63,ok
135,74,high
136,94,high
137,49,high
172,86,high
176,56,low
186,67,ok
162,49,ok
197,99,high
167,98,high
161,47,low
162,76,high
129,35,ok
148,91,high
121,71,high
145,92,high
129,91,high
181,52,low
140,79,high
121,36,ok
131,40,ok
181,87,high
189,71,ok
193,79,ok
130,57,high
135,52,high
148,39,low
198,51,low
120,87,high
174,61,ok
193,97,high
193,87,ok
120,95,high
132,55,high
189,63,low
182,85,high
180,80,ok
127,83,high
194,61,low
174,82,high
126,73,high
174,74,ok
156,92,high
169,49,low
178,80,high
150,78,high
198,81,ok
187,40,low
153,100,high
136,58,high
171,73,ok
124,68,high
128,35,ok
182,99,high
143,36,low
160,85,high
172,97,high
144,68,high
144,36,low
200,68,low
176,59,ok
164,99,high
125,42,high
188,50,low
180,68,ok
154,86,high
155,58,ok
177,39,low
125,74,high
192,94,high
176,45,low
149,58,high
146,63,high
193,54,low
170,37,low
131,53,high
173,47,low
125,71,high
169,59,ok
120,97,high
184,35,low
150,49,ok
130,52,high
141,56,high
176,72,ok
171,75,high
154,50,ok
195,47,low
166,63,ok
142,60,high
179,35,low
136,58,high
180,65,ok
127,49,high
136,86,high
179,56,low
120,54,high
187,92,high
138,36,ok
160,76,high
179,58,low
134,57,high
127,80,high
176,81,high
188,65,low
152,50,ok
152,73,high
125,47,high
185,81,ok
169,93,high
195,77,ok
196,51,low
153,42,low
126,80,high
192,81,ok
180,42,low
190,62,low
175,37,low
169,81,high
126,64,high
160,45,low
162,39,low
184,91,high
168,79,high
182,78,ok
183,78,ok
182,84,high
179,74,ok
182,45,low
161,58,ok
136,83,high
193,58,low
196,76,ok
128,77,high
127,98,high
182,97,high
134,81,high
155,38,low
179,93,high
197,84,ok
156,89,high
148,48,ok
197,80,ok
121,63,high
198,85,ok
185,37,low
122,59,high
159,79,high
120,67,high
196,61,low
190,35,low
127,61,high
125,77,high
175,69,ok
133,97,high
154,39,low
143,91,high
150,35,low
150,79,high
180,92,high
165,46,low
140,66,high
137,46,ok
128,95,high
184,47,low
180,95,high
137,48,high
121,65,high
143,86,high
127,56,high
174,98,high
195,88,ok
143,55,high
155,78,high
122,90,high
174,86,high
151,67,high
174,77,high
147,41,ok
180,100,high
196,66,low
190,91,high
126,87,high
193,78,ok
162,36,low
136,80,high
153,66,high
121,79,high
123,98,high
197,65,low
197,41,low
147,39,low
182,81,ok
197,66,low
157,73,high
161,87,high
188,87,ok
140,38,ok
197,77,ok
125,64,high
194,60,low
190,64,low
192,42,low
164,74,high
186,35,low
175,56,low
142,35,low
194,57,low
162,80,high
185,39,low
126,58,high
130,94,high
187,96,high
133,73,high
186,47,low
122,58,high
176,86,high
139,45,ok
151,76,high
150,77,high
128,88,high
131,43,high
134,82,high
178,94,high
136,92,high
134,42,ok
190,58,low
156,91,high
120,90,high
137,49,high
195,93,ok
144,72,high
135,55,high
197,51,low
159,72,high
127,87,high
135,66,high
132,100,high
174,97,high
142,91,high
176,88,high
180,60,ok
197,90,ok
162,46,low
134,75,high
140,48,ok
136,99,high
121,57,high
199,73,low
194,41,low
198,98,ok
198,100,high
143,47,ok
181,68,ok
187,61,low
133,89,high
173,82,high
155,48,ok
172,39,low
160,46,low
125,75,high
141,85,high
166,84,high
133,39,ok
169,80,high
130,99,high
125,58,high
135,59,high
175,90,high
157,81,high
180,57,low
163,59,ok
199,83,ok
197,66,low
199,35,low
183,90,high
184,35,low
195,50,low
181,94,high
153,78,high
159,53,ok
169,50,low
168,88,high
159,87,high
142,88,high
126,84,high
133,77,high
169,36,low
184,56,low
132,49,high
185,81,ok
172,43,low
140,98,high
161,69,high
195,47,low
143,89,high
131,95,high
190,88,ok
183,88,high
196,47,low
142,83,high
163,100,high
161,73,high
179,44,low
149,57,high
150,98,high
126,42,high
161,85,high
164,68,high
158,74,high
168,62,ok
180,39,low
185,40,low
177,39,low
138,75,high
164,92,high
132,56,high
192,66,low
135,89,high
144,69,high
136,43,ok
157,73,high
161,55,ok
152,69,high
135,97,high
161,40,low
144,69,high
127,70,high
143,89,high
159,80,high
187,54,low
139,61,high
185,89,high
193,58,low
160,97,high
184,52,low
159,92,high
153,43,low
179,64,ok
157,83,high
182,52,low
149,58,high
193,39,low
128,69,high
120,60,high
170,55,ok
151,94,high
122,81,high
155,95,high
133,47,high
137,98,high
183,39,low
137,60,high
135,86,high
143,54,high
176,72,ok
120,86,high
141,52,high
149,87,high
131,40,ok
120,70,high
184,54,low
165,94,high
175,75,ok
151,100,high
143,48,ok
191,38,low
196,47,low
150,44,ok
162,81,high
134,94,high
197,54,low
193,44,low
155,90,high
124,77,high
137,69,high
147,43,ok
163,81,high
123,94,high
150,82,high
134,49,high
186,72,ok
169,92,high
177,45,low
148,78,high
150,45,ok
133,70,high
196,52,low
165,49,low
121,93,high
146,88,high
180,46,low
191,98,high
196,56,low
140,39,ok
175,47,low
184,50,low
169,72,high
159,37,low
148,66,high
148,67,high
186,56,low
130,57,high
148,51,ok
181,77,ok
127,95,high
152,85,high
173,52,low
133,64,high
139,74,high
167,44,low
166,50,low
180,88,high
156,99,high
172,93,high
126,67,high
130,58,high
122,56,high
129,82,high
128,44,high
125,50,high
183,72,ok
187,62,low
162,85,high
156,49,ok
155,52,ok
185,70,ok
126,37,ok
128,99,high
129,90,high
177,86,high
146,57,high
189,77,ok
162,99,high
170,98,high
136,89,high
184,84,ok
160,84,high
162,66,high
191,77,ok
132,98,high
181,71,ok
120,51,high
173,96,high
148,70,high
185,51,low
134,58,high
197,94,ok
124,51,high
183,55,low
128,94,high
183,48,low
137,75,high
187,62,low
139,61,high
151,75,high
129,99,high
150,65,high
